"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"02114","760","921","158","138","908","477","1373","94","214"
"02115","623","738","160","127","762","312","1068","89","204"
"02116","467","547","119","96","548","251","898","28","88"
"02117","541","682","143","75","650","355","978","75","170"
"02118","692","804","152","140","898","306","1199","104","193"
"02119","604","669","129","84","712","348","1080","57","136"
"02120","558","607","88","89","681","307","965","78","122"
"02121","592","671","136","112","722","293","1024","81","158"
"02122","472","580","96","92","562","302","900","56","96"
"02123","540","581","98","78","681","264","866","108","147"
"02124","488","594","114","81","565","322","952","45","85"
"02125","763","918","175","124","909","473","1437","79","165"
"02126","665","792","131","127","797","402","1235","82","140"
"02127","549","597","107","91","705","243","860","96","190"
"02128","603","716","126","102","808","283","987","99","233"
"02129","676","838","125","119","860","410","1205","70","239"
"02130","526","599","122","86","565","352","1004","40","81"
"02131","534","636","125","95","664","286","881","82","207"
"02132","524","555","104","74","629","272","873","48","158"
"02133","378","465","72","58","409","304","728","31","84"
"02134","707","777","130","118","834","402","1171","100","213"
"02135","1024","1143","220","180","1361","406","1636","182","349"
"02136","407","487","78","72","507","237","739","51","104"
"02137","705","770","139","132","918","286","1041","138","296"
"02138","926","1032","206","175","1093","484","1590","127","241"
"02139","783","888","149","137","1079","306","1178","204","289"
"02140","873","1035","196","158","1144","410","1532","133","243"
"02141","558","620","110","112","682","274","897","66","215"
"02142","943","1081","206","191","1238","389","1506","154","364"
"02143","700","693","138","111","852","292","999","149","245"
"02144","729","832","135","165","963","298","1121","175","265"
"02145","592","648","121","102","798","219","879","116","245"
"02146","553","641","103","100","722","269","907","104","183"
"02147","1026","1152","211","202","1319","446","1639","175","364"
"02148","717","873","155","123","946","366","1259","126","205"
"02149","883","929","204","151","1132","325","1350","161","301"
"02150","722","802","150","123","952","299","1052","157","315"
"02151","704","810","145","131","949","289","1080","169","265"
"02152","576","701","113","95","666","403","1016","99","162"
"02153","632","721","149","106","719","379","1112","68","173"
"02154","533","571","106","80","714","204","729","123","252"
"02155","867","1011","187","160","1047","484","1458","134","286"
"02156","609","667","98","104","687","387","1035","76","165"
"02157","566","663","135","109","678","307","928","96","205"
"02158","762","829","164","123","886","418","1259","117","215"
"02159","946","1009","218","182","1166","389","1447","164","344"
"02160","944","1035","194","167","1160","458","1570","142","267"
"02161","573","628","114","114","744","229","870","149","182"
"02162","692","747","128","133","848","330","1064","109","266"
"02163","862","970","157","145","1131","399","1384","184","264"
"02164","716","750","137","129","944","256","982","195","289"
"02165","821","881","176","119","1058","349","1262","169","271"
"02166","1005","1103","241","164","1303","400","1491","219","398"
"02167","1032","1118","239","191","1206","514","1692","165","293"
"02168","1060","1212","258","157","1407","450","1649","227","396"
"02169","753","813","152","114","996","304","1168","172","226"
"02170","708","817","145","132","903","345","1182","116","227"
"02171","793","865","185","132","967","374","1201","135","322"
"02172","757","818","164","114","1015","282","1123","162","290"
"02173","724","795","151","136","925","307","1177","129","213"
"03001","809","874","174","138","978","393","1251","139","293"
"03002","936","980","191","155","1227","343","1303","203","410"
"03003","834","889","193","152","1111","267","1086","153","484"
"03004","780","851","168","121","1020","322","1163","143","325"
"03005","582","644","136","80","714","296","869","109","248"
"03006","702","713","166","117","919","213","909","178","328"
"03007","811","892","201","148","1037","317","1157","169","377"
"03008","554","613","129","88","735","215","792","117","258"
"03009","592","653","116","93","788","248","871","111","263"
"03010","1015","912","197","208","1265","257","1152","218","557"
"03011","877","882","218","173","1156","212","1028","191","540"
"03012","1063","1122","206","203","1442","334","1323","305","557"
"03013","915","922","196","200","1230","211","1066","292","479"
"03014","893","893","181","159","1197","249","1072","251","463"
"03015","1490","1538","325","303","1964","436","1797","417","814"
"03016","593","658","133","115","829","174","722","160","369"
"03017","847","837","197","152","1137","198","950","265","469"
"03018","887","864","199","163","1063","326","1190","158","403"
"03019","739","825","190","124","1012","238","971","150","443"
"03020","628","593","106","93","704","318","938","89","194"
"03021","514","583","107","88","587","315","867","77","153"
"03022","726","719","157","127","872","289","1046","139","260"
"03023","945","963","227","153","1249","279","1270","227","411"
"03024","1052","1025","256","187","1373","261","1355","290","432"
"03025","678","641","164","103","822","230","1132","25","162"
"03026","493","538","105","81","465","380","908","24","99"
"03027","841","920","200","239","927","395","1554","55","152"
"03028","1307","1363","498","305","1538","329","2096","106","468"
"03029","638","678","144","146","777","249","1148","41","127"
"03030","738","872","167","170","930","343","1303","62","245"
"03031","1177","1278","288","253","1320","594","2165","52","238"
"03032","827","892","262","149","983","325","1398","74","247"
"03033","757","743","198","163","854","285","1050","41","409"
"03034","732","806","170","169","895","304","1280","27","231"
"03035","1093","1185","227","212","1272","567","1945","57","276"
"03036","1165","1259","305","251","1381","487","2033","99","292"
"03037","497","545","91","118","661","172","936","16","90"
"03038","455","508","136","119","490","218","879","12","72"
"03039","1232","1329","414","273","1447","427","1947","80","534"
"03040","688","789","123","123","803","428","1280","69","128"
"03041","671","748","151","145","812","311","1102","101","216"
"03042","684","720","136","142","852","274","1047","94","263"
"03043","743","899","139","152","898","453","1247","121","274"
"03044","899","995","186","178","1177","353","1343","129","422"
"03045","520","547","127","70","653","217","831","109","127"
"03046","663","756","99","112","802","406","1153","93","173"
"03047","850","936","185","151","1137","313","1369","131","286"
"03048","637","704","114","90","803","334","1049","80","212"
"03049","782","864","183","108","976","379","1216","145","285"
"03050","814","828","148","118","1073","303","1215","177","250"
"03051","981","989","250","190","1284","246","1311","179","480"
"03052","609","698","159","123","837","188","924","116","267"
"03053","1055","1149","296","171","1363","374","1506","178","520"
"03054","812","869","152","141","985","403","1336","105","240"
"03055","760","843","142","122","977","362","1247","114","242"
"03056","425","513","97","75","516","250","728","50","160"
"03057","698","787","140","109","826","410","1280","58","147"
"03058","812","954","238","137","1038","353","1482","102","182"
"03059","599","626","153","84","700","288","975","51","199"
"03060","691","710","144","108","792","357","1209","54","138"
"03061","539","600","115","98","643","283","898","56","185"
"03062","737","846","187","142","891","363","1343","76","164"
"03063","956","987","349","151","1173","270","1537","108","298"
"03064","565","650","132","114","707","262","1048","40","127"
"03065","658","709","105","123","858","281","1231","28","108"
"03066","1120","1220","285","239","1345","471","1958","81","301"
"03067","834","936","200","136","985","449","1474","49","247"
